sp.code,Species name,Abundance,plot,LAT,LONG,YEAR
lomar.japur.prie,Lomariopsis japurensis or Lomariopsis prieuriana,0,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Lygod.volu,Lygodium volubile,0,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Metax.rost.s.l.,Metaxya rostrata s.l.,1,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Pityr.calo,Pityrogramma calomelanos,0,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Polyb.caud,Polybotrya caudata,0,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Polyb.sess,Polybotrya sessilisora,1,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Pteri.pung,Pteris pungens,0,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Pteris.tripart,Pteris tripartita,0,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Sacco.inae,Saccoloma inaequale,0,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Salpi.hook,Saplichlaena hookeriana,0,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Schiz.eleg,Schizaea elegans,1,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
