GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS377071279	2021-03-15 16:57:41.622526	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				100					Japan	JP	Hokkaido	JP-01							羅臼村--羅臼漁港 (Rausu--Rausu Fishing Port)	L1557969	H	44.0191736	145.1954601	2016-02-12	08:25:00	obsr122516	S27825108	Traveling	P22	EBIRD	120	3.000		11	1	G1619645	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS375766734	2019-08-04 09:16:51	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				3					Japan	JP	Hokkaido	JP-01							根室市--モユルリ島 (Nemuro--Moyururi Island IBA)	L3077643	H	43.2269041	145.6082010	2016-02-16	09:00:00	obsr685570	S27717580	Traveling	P22	EBIRD	120	32.187		10	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS382111123	2018-04-07 20:05:14	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				30					Japan	JP	Hokkaido	JP-01							根室市--風蓮湖--レイクサンセット (Nemuro--Lake Furen--Lake Sunset (sea-eagle feeding site))	L3456577	H	43.2634598	145.4618329	2016-02-29	09:00:00	obsr438850	S28228183	Stationary	P21	EBIRD	120			2	1		0	1	0			one bird was seen having a GPS transmitter	
URN:CornellLabOfOrnithology:EBIRD:OBS372969943	2019-05-12 04:54:01	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					Japan	JP	Hokkaido	JP-01							根室市--納沙布岬 (Nemuro--Cape Nosappu)	L1560010	H	43.3851562	145.8166221	2016-02-13	14:20:00	obsr152472	S27469648	Traveling	P22	EBIRD	120	10.000		11	1	G1619639	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS382110693	2016-05-16 13:21:44	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				2					Japan	JP	Hokkaido	JP-01							根室市--花咲港 (Nemuro--Hanasaki Port)	L1484273	H	43.2811102	145.5732122	2016-02-29	06:00:00	obsr438850	S28228174	Traveling	P22	EBIRD	135	3.000		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS380224490	2022-03-02 14:41:56.826099	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					Japan	JP	Hokkaido	JP-01							浜中村--霧多布岬 (Hamanaka--Cape Kiritappu)	L1952959	H	43.0786144	145.1638868	2016-03-10	16:07:00	obsr275735	S28074354	Incidental	P20	EBIRD				1	0		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS382117869	2022-03-02 14:41:56.826099	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					Japan	JP	Hokkaido	JP-01							別海町--道の駅おだいとう・別海北方展望塔・白鳥台 (Betsukai--Roadside Station Odaito / Betsukai North Observatory and Swan Lake)	L1557991	H	43.5334274	145.2369565	2016-03-03	11:00:00	obsr438850	S28228701	Traveling	P22	EBIRD	60	2.000		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS994789619	2022-03-02 14:41:56.826099	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				2					Japan	JP	Hokkaido	JP-01							網走市--能取湖IBA (Abashiri--Lake Notoro IBA)	L2385164	H	44.0562809	144.1439958	2016-03-27	07:30:00	obsr676632	S74731085	Historical	P62	EBIRD				5	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS380014783	2022-03-02 14:41:56.826099	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				5					Japan	JP	Hokkaido	JP-01							別海町--野付半島ネイチャーセンター (Betsukai--Notsuke Peninsula Nature Center)	L1557838	H	43.5902489	145.3350610	2016-03-09	12:00:00	obsr275735	S28058169	Traveling	P22	EBIRD	165	19.312		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS431437291	2016-09-22 12:34:56	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1				Unknown Sex, Adult (1)	Japan	JP	Hokkaido	JP-01							Travelling, Kasai Ryokan to Fujimi Bridge	L4941749	P	45.3265026	142.1797714	2016-03-14	08:05:00	obsr152622	S31705002	Traveling	P22	EBIRD	27	12.800		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS379791207	2022-03-02 14:41:56.826099	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					Japan	JP	Hokkaido	JP-01							44.0011x144.2238 - Mar 8, 2016, 4:36 PM	L4348425	P	44.0010950	144.2238410	2016-03-08	16:36:00	obsr275735	S28040303	Stationary	P21	EBIRD	5			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS380443575	2022-03-02 14:41:56.826099	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					Japan	JP	Hokkaido	JP-01							43.1095x144.9621 - Mar 11, 2016, 7:12 AM	L4356706	P	43.1094680	144.9621470	2016-03-11	07:12:00	obsr275735	S28091993	Incidental	P20	EBIRD				1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS717655367	2022-03-02 14:41:56.826099	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				X					Japan	JP	Hokkaido	JP-01							JP-Hokkaido-Abashiri-78, Yobito - 43.9832x144.2189	L5912025	P	43.9832320	144.2189350	2016-03-28	07:00:00	obsr676065	S53311730	Historical	P62	EBIRD	360			4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS382116984	2022-03-02 14:41:56.826099	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				2					Japan	JP	Hokkaido	JP-01							Kiritappu Port	L4350976	P	43.0816150	145.1257682	2016-03-02	12:00:00	obsr438850	S28228612	Traveling	P22	EBIRD	120	2.000		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS382118986	2022-03-02 14:41:56.826099	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				10					Japan	JP	Hokkaido	JP-01							根室海峡 (Nemuro Strait)	L1557996	H	44.1005284	145.3718422	2016-03-04	09:00:00	obsr438850	S28228796	Traveling	P22	EBIRD	120	5.000		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS994798800	2022-03-02 14:41:56.826099	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				5					Japan	JP	Hokkaido	JP-01							根室市--民宿風蓮 (Nemuro--Minshuku Furen)	L1952852	H	43.2700776	145.4723574	2016-03-29	08:00:00	obsr676632	S74731917	Historical	P62	EBIRD				5	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS382116748	2022-03-02 14:41:56.826099	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				25					Japan	JP	Hokkaido	JP-01							根室市--風蓮湖--レイクサンセット (Nemuro--Lake Furen--Lake Sunset (sea-eagle feeding site))	L3456577	H	43.2634598	145.4618329	2016-03-02	09:00:00	obsr438850	S28228575	Stationary	P21	EBIRD	120			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS379791289	2022-03-02 14:41:56.826099	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				2					Japan	JP	Hokkaido	JP-01							44.0080x144.2897 - Mar 8, 2016, 3:33 PM	L4348426	P	44.0079910	144.2897260	2016-03-08	15:33:00	obsr275735	S28040308	Traveling	P22	EBIRD	20	1.609		2	1		0	1	0				
