"","Tube","plotnr","vegtype","treatment","growth","sampling","doy","snowmelt_doy","growth_area","day_difference","growth.cumulative.Sum"
"230",62,"G","meadow","early",21.849937,6,153,129,0.197059316378066,24,0.461834199134199
"231",62,"G","meadow","early",59.085726,7,162,129,0.532879924242424,33,0.994714123376623
"232",62,"G","meadow","early",36.054384,8,169,129,0.325165800865801,40,1.31987992424242
"233",62,"G","meadow","early",38.039151,9,176,129,0.343065936147186,47,1.66294586038961
"234",62,"G","meadow","early",53.326416,10,183,129,0.480938095238095,54,2.14388395562771
"235",63,"H","meadow","control",NA,2,128,143,NA,-15,NA
"236",63,"H","meadow","control",NA,3,133,143,NA,-10,NA
"237",63,"H","meadow","control",NA,4,139,143,NA,-4,NA
"238",63,"H","meadow","control",NA,5,146,143,NA,3,NA
"239",63,"H","meadow","control",9.132264,6,153,143,0.0823616883116883,10,0.0823616883116883
"240",63,"H","meadow","control",17.684084,7,162,143,0.159488492063492,19,0.24185018037518
"241",63,"H","meadow","control",8.97444,8,169,143,0.0809383116883117,26,0.322788492063492
"242",63,"H","meadow","control",13.9937,9,176,143,0.126205808080808,33,0.4489943001443
"243",63,"H","meadow","control",21.167673,10,183,143,0.190906141774892,40,0.639900441919192
"244",64,"H","meadow","early",NA,2,128,136,NA,-8,NA
"245",64,"H","meadow","early",NA,3,133,136,NA,-3,NA
"246",64,"H","meadow","early",2.241735,4,139,136,0.0202176677489178,3,0.0202176677489178
"247",64,"H","meadow","early",14.208106,5,146,136,0.128139484126984,10,0.148357151875902
"248",64,"H","meadow","early",21.283528,6,153,136,0.19195101010101,17,0.340308161976912
"249",64,"H","meadow","early",70.585021,7,162,136,0.636589294733045,26,0.976897456709957
"250",64,"H","meadow","early",45.3602,8,169,136,0.409092712842713,33,1.38599016955267
"251",64,"H","meadow","early",33.816321,9,176,136,0.30498125,40,1.69097141955267
"252",64,"H","meadow","early",41.176565,10,183,136,0.371361516955267,47,2.06233293650794
