Mpala structural data,,,,,,,,,,,,,Ilmotiok structural data,,,,,,,,
S/Transect,ALL,SpCode,DKH,Basal area (sq cm),Hmin,Hmax,CanDepth,CrwnDiam,CanArea     = ?D1D2/4 ,CanVol ,,,SpCode,DKH,Basal area (sq cm),Hmin,Hmax,CanDepth,CrwnDiam,CanArea     = ?D1D2/4 ,CanVol 
M1,M103,ACACBR,2.5,4.91,0.74,1.3,0.56,0.85,0.57,0.21,,,ACACME,7,38.47,1.18,2.41,1.23,4.01,12.59,10.32
M1,M103,ACACBR,2.4,4.52,0.5,2.08,1.58,2.1,3.46,3.65,,,ACACET,23.4,429.83,1.05,5.34,4.29,6.08,28.33,80.93
M1,M103,ACACBR,2.4,4.52,0.7,1.83,1.13,1.2,1.06,0.8,,,ACACME,15.6,191.04,1.46,5.73,4.27,5.19,21.14,60.2
M1,M103,ACACBR,1.4,1.54,0.6,1.79,1.19,0.7,0.35,0.28,,,ACACME,6.4,32.15,0.8,1.92,1.12,1.87,2.41,1.8
M1,M103,ACACBR,2.8,6.15,0.4,1.53,1.13,1,0.79,0.59,,,ACACME,22.3,390.37,0.82,4.36,3.54,4.65,16.74,39.49
M1,M103,ACACBR,1.9,2.83,1,1.95,0.95,1.05,0.86,0.55,,,ACACME,6.7,35.24,1.04,3.14,2.1,4.44,15.47,21.66
M1,M103,ACACBR,2.1,3.46,0.7,1.9,1.2,0.61,0.29,0.23,,,ACACME,6.7,35.24,0.86,3.11,2.25,4.18,13.64,20.45
M1,M103,ACACBR,2.5,4.91,1.1,1.84,0.74,1.4,1.53,0.76,,,ACACME,8.6,58.06,1.17,3.38,2.21,5.54,23.96,35.37
M1,M103,ACACBR,2,3.14,1,2.27,1.27,1.5,1.77,1.5,,,ACACME,8.4,55.39,1.28,3.51,2.23,5.79,26.31,39.05
M1,M103,ACACBR,1.4,1.54,0.9,1.67,0.77,0.5,0.2,0.1,,,ACACME,8.2,52.78,1.64,4.69,3.05,6.79,36.14,73.47
M1,M103,ACACBR,1.8,2.54,0.9,1.67,0.77,0.5,0.2,0.1,,,ACACME,11.1,96.72,1.64,4.7,3.06,6.79,36.14,73.6
M1,M103,ACACBR,2.2,3.80,0.7,1.39,0.69,1.1,0.87,0.4,,,ACACME,7.9,48.99,0.96,3.39,2.43,6.93,37.7,61
M1,M103,ACACBR,2.3,4.15,0.7,1.66,0.96,1,0.78,0.5,,,ACACME,7.7,46.54,1.32,4.24,2.92,5.17,20.98,40.81
M1,M103,ACACBR,1.6,2.01,0.9,1.56,0.66,1.02,0.81,0.35,,,ACACME,6.3,31.16,0.94,2.87,1.93,4.91,18.88,24.24
M1,M103,ACACBR,1.8,2.54,0.85,1.56,0.71,0.95,0.66,0.31,,,ACACME,5.5,23.75,1.28,2.2,0.92,3.23,7.99,4.87
M1,M103,ACACBR,1.8,2.54,0.7,1.3,0.6,1.06,0.87,0.35,,,ACACME,10.6,88.20,1.21,3.99,2.78,7.78,46.35,86.02
M1,M103,ACACBR,1.6,2.01,0.36,1.38,1.02,0.6,0.23,0.15,,,ACACME,7.3,41.83,1.27,2.87,1.6,4.72,17.44,18.55
M1,M103,ACACBR,2,3.14,0.41,1.31,0.9,0.94,0.69,0.42,,,ACACME,4.6,16.61,1.2,3.14,1.94,3.67,10.39,13.44
M1,M103,ACACBR,2.3,4.15,0.92,1.61,0.69,1.8,2.42,1.11,,,ACACME,7.6,45.34,1.17,3.29,2.12,5.69,25.36,35.88
M1,M103,ACACBR,2,3.14,0.87,1.83,0.96,0.68,0.34,0.22,,,ACACME,9.3,67.89,0.79,3.35,2.56,7.07,39.03,66.71
M1,M103,ACACBR,4.2,13.85,0.92,1.95,1.03,2,2.86,1.96,,,ACACME,8.2,52.78,1.18,2.59,1.41,3.16,7.69,7.24
M1,M103,ACACBR,3.2,8.04,0.8,2.68,1.88,1.95,2.98,3.74,,,ACACME,8.9,62.18,0.8,4.24,3.44,7.73,46.88,107.44
M1,M103,ACACBR,2.3,4.15,0.5,1.55,1.05,1.1,0.92,0.64,,,ACACET,11.1,96.72,0.59,2.62,2.03,4.95,18.67,25.29
M1,M103,ACACBR,2.7,5.72,0.99,2.17,1.18,1.15,1.02,0.8,,,ACACME,6.4,32.15,1.22,4.3,3.08,5.96,27.86,57.19
M1,M103,ACACBR,3.4,9.07,0.57,1.22,0.65,0.95,0.71,0.31,,,ACACME,5.1,20.42,0.36,2.99,2.63,4.72,17.48,30.63
M1,M103,ACACBR,1.4,1.54,1.15,1.81,0.66,0.9,0.57,0.25,,,ACACME,12.7,126.61,1.52,4.27,2.75,4.97,19.33,35.42
M1,M103,ACACBR,1.9,2.83,1.18,1.9,0.72,1.05,0.86,0.41,,,ACACME,7.3,41.83,0.93,3.38,2.45,4.38,15.01,24.51
M1,M103,ACACBR,2.6,5.31,0.78,2.02,1.24,1.25,1.22,1.01,,,ACACET,4.9,18.85,1.11,2.47,1.36,2.73,5.83,5.29
