Acacia tortilis biomass (y=53.506x-103.47 (r2 = 0.75),,,,,,,,,,,,,,,,,,,
S/Transect,Quadra,SpCode,DKH,code,branches,Basal area (sq cm),Hmin,Hmax,CanDepth,D1,D2,CD,CanArea =  ?r² ,CanArea     = ?D1D2/4 ,Diff,(D1D2/4),CanVol,CanVol ,Biomass
L1,L162,ACACTO,2.4,M,M,4.52,0.41,0.78,0.37,1.2,0.61,0.91,0.64,0.57,0.07,0.183,0.1,0.14,24.9
L1,L162,ACACTO,1.7,,b,2.27,0.41,0.78,0.37,1.2,0.61,0.91,0.64,0.57,0.07,0.183,0.1,0.14,-12.5
L1,L163,ACACTO,4.3,M,M,14.51,0.6,1.62,1.02,1.73,1.52,1.63,2.07,2.06,0.01,0.6574,1.4,1.4,126.6
L1,L163,ACACTO,2.1,,b,3.46,0.6,1.62,1.02,1.73,1.52,1.63,2.07,2.06,0.01,0.6574,1.4,1.4,8.9
L1,L163,ACACTO,5.8,M,M,26.41,0.71,1.91,1.2,2.01,2.48,2.25,3.96,3.91,0.04,1.2462,3.1,3.13,206.9
L1,L163,ACACTO,2.8,,b,6.15,0.71,1.91,1.2,2.01,2.48,2.25,3.96,3.91,0.04,1.2462,3.1,3.13,46.3
L1,L166,ACACTO,2.5,M,M,4.91,0.19,1.89,1.7,1.89,1.99,1.94,2.95,2.95,0,0.940275,3.3,3.35,30.3
L1,L166,ACACTO,2.5,M,M,4.91,0.6,1.01,0.41,2.29,1.79,2.04,3.27,3.22,0.05,1.024775,0.9,0.88,30.3
L1,L166,ACACTO,1.9,,b,2.83,0.6,1.01,0.41,2.29,1.79,2.04,3.27,3.22,0.05,1.024775,0.9,0.88,-1.8
L1,L166,ACACTO,2.1,,b,3.46,0.6,1.01,0.41,2.29,1.79,2.04,3.27,3.22,0.05,1.024775,0.9,0.88,8.9
L1,L167,ACACTO,2.3,M,M,4.15,0.12,0.88,0.76,2.36,1.22,1.79,2.52,2.26,0.26,0.7198,1.1,1.15,19.6
L1,L167,ACACTO,1.9,,b,2.83,0.12,0.88,0.76,2.36,1.22,1.79,2.52,2.26,0.26,0.7198,1.1,1.15,-1.8
L1,L167,ACACTO,3.6,M,M,10.17,0.38,1.59,1.21,3.16,2.24,2.7,5.72,5.56,0.17,1.7696,4.5,4.48,89.2
