CCA Data Second - Il Motiok,,,,,,,,,,,,,,
217,plots,,,,,,,,,,,,,
14,variables,,,,,,,,,,,,,
,q,q,q,q,q,q,q,q,q,q,q,q,q,q
Plot,soil text,Slope,Alt,Soil  pH,Tot. N,Tot. C,K,Ca,Mg,Mn,Co,Fe,Zn,Na
L316,4,3,1673,0,0,0,0,0,0,0,0,0,0,0
L317,5,2,1677,0,0,0,0,0,0,0,0,0,0,0
L318,1,1,1676,0,0,0,0,0,0,0,0,0,0,0
L319,1,1,1672,0,0,0,0,0,0,0,0,0,0,0
L320,5,1,1679,0,0,0,0,0,0,0,0,0,0,0
L321,1,1,1679,0,0,0,0,0,0,0,0,0,0,0
L322,4,2,1680,0,0,0,0,0,0,0,0,0,0,0
L323,5,2,1679,0,0,0,0,0,0,0,0,0,0,0
L324,1,3,1686,0,0,0,0,0,0,0,0,0,0,0
L325,1,2,1688,8.37,0.05,0.49,0.48,2.9,3.02,0.41,1.88,54.8,6.46,0.3
L326,1,3,1687,0,0,0,0,0,0,0,0,0,0,0
L327,1,3,1686,0,0,0,0,0,0,0,0,0,0,0
L328,1,3,1687,0,0,0,0,0,0,0,0,0,0,0
L329,1,3,1686,0,0,0,0,0,0,0,0,0,0,0
L330,1,2,1689,5.94,0.04,0.39,0.78,2.9,1.15,0.38,2.91,55.8,28,0.26
L331,1,2,1688,0,0,0,0,0,0,0,0,0,0,0
L332,1,2,1692,0,0,0,0,0,0,0,0,0,0,0
L333,4,2,1688,0,0,0,0,0,0,0,0,0,0,0
L334,4,2,1687,0,0,0,0,0,0,0,0,0,0,0
L335,4,2,1686,5.69,0.1,0.96,0.78,2.7,1.48,0.32,1.85,61.1,20.6,0.26
L336,4,1,1666,0,0,0,0,0,0,0,0,0,0,0
L337,1,1,1678,0,0,0,0,0,0,0,0,0,0,0
L338,4,2,1674,0,0,0,0,0,0,0,0,0,0,0
L339,4,2,1667,0,0,0,0,0,0,0,0,0,0,0
L340,4,2,1678,5.75,0.09,0.83,0.62,2.4,1.85,0.42,1.64,90.5,20.8,0.2
L341,1,2,1672,0,0,0,0,0,0,0,0,0,0,0
L342,1,2,1672,0,0,0,0,0,0,0,0,0,0,0
L343,5,2,1671,0,0,0,0,0,0,0,0,0,0,0
L344,4,2,1670,0,0,0,0,0,0,0,0,0,0,0
L345,1,2,1668,5.55,0.06,0.6,0.46,3.1,1.14,0.29,2.72,102,16.7,0.3
L346,5,2,1653,0,0,0,0,0,0,0,0,0,0,0
L347,1,2,1669,0,0,0,0,0,0,0,0,0,0,0
L348,1,2,1665,0,0,0,0,0,0,0,0,0,0,0
L349,5,2,1664,0,0,0,0,0,0,0,0,0,0,0
L350,1,2,1663,6.15,0.07,0.63,0.74,3.5,1.61,0.32,2.16,51.6,22.6,0.32
L351,4,2,1661,0,0,0,0,0,0,0,0,0,0,0
L352,4,3,1660,0,0,0,0,0,0,0,0,0,0,0
L353,4,3,1657,0,0,0,0,0,0,0,0,0,0,0
L354,4,3,1657,0,0,0,0,0,0,0,0,0,0,0
L355,4,3,1658,6.37,0.06,0.58,0.9,2.7,1.03,0.46,1.9,39.5,11.5,0.28
L356,4,3,1655,0,0,0,0,0,0,0,0,0,0,0
L357,5,2,1649,0,0,0,0,0,0,0,0,0,0,0
L358,1,1,1649,0,0,0,0,0,0,0,0,0,0,0
L360,5,1,1644,6.2,0.06,0.61,0.5,2.5,3.19,0.43,2.22,34.8,3.32,0.26
L361,1,1,1642,0,0,0,0,0,0,0,0,0,0,0
L362,4,2,1647,0,0,0,0,0,0,0,0,0,0,0
L363,5,2,1646,0,0,0,0,0,0,0,0,0,0,0
L364,1,3,1647,0,0,0,0,0,0,0,0,0,0,0
L365,1,2,1646,5.92,0.1,1.01,0.66,3.3,2.93,0.63,5.11,61.9,12.2,0.32
L366,1,3,1647,0,0,0,0,0,0,0,0,0,0,0
L367,1,3,1643,0,0,0,0,0,0,0,0,0,0,0
L368,1,3,1642,0,0,0,0,0,0,0,0,0,0,0
L369,1,3,1641,0,0,0,0,0,0,0,0,0,0,0
L370,1,2,1636,7.09,0.05,0.5,0.9,2.9,3.13,0.33,2.26,43.8,3.75,0.28
L371,1,2,1639,0,0,0,0,0,0,0,0,0,0,0
L372,1,2,1638,0,0,0,0,0,0,0,0,0,0,0
L373,4,2,1634,0,0,0,0,0,0,0,0,0,0,0
L375,4,2,1630,7.89,0.06,0.53,1.32,5.1,4.65,0.43,2.4,42.5,3.52,0.44
