cond;plot;subplot;bare_soil;cov_woody;cov_n_woody
managed;10;2;2.5;2.5;87.5
managed;10;3;2.5;2.5;62.5
managed;10;4;20;10;37.5
managed;11;1;2.5;10;87.5
managed;11;2;10;20;10
managed;11;3;2.5;10;87.5
managed;11;4;2.5;20;62.5
managed;12;1;37.5;62.5;37.5
managed;12;2;2.5;62.5;37.4
managed;12;3;10;37.5;10
managed;12;4;10;87.5;10
managed;13;1;10;62.5;37.5
managed;13;2;62.5;37.5;10
managed;13;3;37.5;2.5;37.5
managed;13;4;20;20;37.5
managed;14;1;10;2.5;62.5
managed;14;2;2.5;10;62.5
managed;14;3;62.5;10;2.5
managed;14;4;37.5;37.5;2.5
managed;15;1;2.5;2.5;87.5
managed;15;2;37.5;2.5;37.5
managed;15;3;2.5;10;87.5
managed;15;4;2.5;2.5;87.5
managed;16;1;10;37.5;37.5
managed;16;2;20;2.5;2.5
managed;16;3;10;20;37.5
managed;16;4;20;2.5;62.5
managed;17;1;2.5;2.5;87.5
managed;17;2;10;20;37.5
managed;17;3;20;2.5;62.5
managed;17;4;37.5;10;37.5
managed;18;1;2.5;10;62.5
managed;18;2;2.5;2.5;87.5
managed;18;3;37.5;62.5;2.5
managed;18;4;62.5;10;20
managed;19;1;2.5;2.5;87.5
managed;19;2;87.5;2.5;2.5
managed;19;3;10;2.5;87.5
managed;19;4;62.5;2.5;20
managed;20;1;2.5;2.5;87.5
managed;20;2;10;2.5;87.5
managed;20;3;10;2.5;87.5
managed;20;4;2.5;20;87.5
managed;21;1;10;10;87.5
managed;21;2;2.5;10;87.5
managed;21;3;20;2.5;62.5
managed;21;4;10;2.5;87.5
managed;22;1;2.5;20;37.5
managed;22;2;10;62.5;62.5
managed;22;3;10;2.5;87.5
managed;22;4;2.5;10;87.5
managed;23;1;87.5;2.5;10
managed;23;2;2.5;2.5;87.5
managed;23;3;2.5;87.5;37.5
managed;23;4;2.5;2.5;87.5
managed;24;1;87.5;2.5;37.5
managed;24;2;2.5;2.5;87.5
managed;24;3;2.5;37.5;37.5
managed;24;4;87.5;2.5;20
managed;25;1;10;20;37.5
managed;25;2;37.5;10;37.5
managed;25;3;10;2.5;62.5
managed;25;4;10;2.5;87.5
managed;26;1;62.5;37.5;2.5
managed;26;2;87.5;10;2.5
managed;26;3;20;87.5;10
managed;26;4;20;20;37.5
managed;27;1;10;20;62.5
managed;27;2;2.5;2.5;87.5
managed;27;3;2.5;2.5;87.5
managed;27;4;2.5;10;87.5
managed;28;1;2.5;20;87.5
managed;28;2;2.5;20;87.5
managed;28;3;2.5;62.5;87.5
managed;28;4;2.5;62.5;37.5
managed;29;1;2.5;2.5;87.5
managed;29;2;62.5;87.5;2.5
managed;29;3;37.5;20;62.5
managed;29;4;2.5;62.5;62.5
managed;30;1;2.5;2.5;87.5
managed;30;2;10;10;87.5
managed;30;3;20;37.5;62.5
managed;30;4;2.5;2.5;87.5
