Respondent_ID,EK_nonforest_total,EK_forest_total,Current_contact,Childhood_contact,Gender,agegroup,Origin,Subsistence,INS,LCNR_score,LCNR_max_possible_score,Forest_cover_percent,distance_to_closest_town_grouped,Coragyps_atratus_image,Columbina_passerina_image,Troglodytes_musculus_image,Crotophaga_ani_image,Pitangus_sulphuratus_image,Passer_domesticus_image,Volatinia_jacarina_image,Sporophila_angolensis_image,Sturnella_militaris_image,Vanellus_chilensis_image,Opisthocomus_hoazin_image,Eurypyga_helias_image,Caracara.plancus_image,Cyphorinus_arada_image,Odontophorus_gujanensis_image,Cyanoloxia_rothschildii_image,Pseudastur_albicolis_image,Lipaugus_vociferans_image,Pionus.menstruus,Cyanoloxia_rothschildii_image_sound_match,Cyphorinus_arada_image_sound_match,Sporophila_angolensis_image_sound_match,Troglodytes_musculus_image_sound_match,Pitangus_sulphuratus_image_sound_match,Volatinia_jacarina_image_sound_match,Vanellus_chilensis_image_sound_match,Lipaugus_vociferans_image_sound_match,Cyanoloxia_rothschildii_sound,Cyphorinus_arada_sound,Sporophila_angolensis_sound,Troglodytes_musculus_sound,Pitangus_sulphuratus_sound,Volatinia_jacarina_sound,Vanellus_chilensis_sound,Lipaugus_vociferans_sound
47,7,0,1,2,Female,51-55,Other,0,2,9,28,39.99995341,far,correct genus,correct genus,incorrect,correct species,correct species,incorrect,incorrect,incorrect,incorrect,correct species,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,incorrect,incorrect,incorrect
48,12,1,4,1,Male,51-55,Other,0,7,28,28,39.99995341,far,correct genus,correct family,incorrect,correct species,correct species,incorrect,correct species,correct species,correct family,correct species,incorrect,incorrect,correct family,incorrect,incorrect,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,incorrect
50,10,2,4,4,Female,31-35,Amazonia,0,6,28,28,29.20299947,far,correct genus,incorrect,correct species,incorrect,correct species,incorrect,correct species,correct species,incorrect,incorrect,correct species,incorrect,correct family,incorrect,incorrect,incorrect,correct species,incorrect,correct genus,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,incorrect,incorrect
52,18,5,8,4,Male,26-30,Amazonia,7,7,28,28,29.20299947,far,correct genus,correct genus,correct species,correct species,correct species,incorrect,correct species,correct species,correct genus,incorrect,correct species,incorrect,correct species,incorrect,correct species,incorrect,correct family,correct species,correct genus,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,correct sound-image matching,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect,correct species by sound
53,16,1,8,4,Male,41-45,Other,24,7,21,24,45.46833179,far,correct genus,correct genus,correct species,correct species,correct species,correct species,incorrect,incorrect,correct genus,correct species,correct species,incorrect,correct species,incorrect,incorrect,correct species,correct family,incorrect,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,correct sound-image matching,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,incorrect,correct species by sound,incorrect
54,7,0,8,3,Female,36-40,Other,0,7,22,28,45.46833179,far,correct genus,correct genus,incorrect,incorrect,correct species,incorrect,incorrect,incorrect,correct genus,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,incorrect,incorrect,incorrect
55,17,2,1,2,Female,51-55,Other,18,5,23,24,19.67104722,far,correct genus,correct genus,correct species,correct species,correct species,incorrect,correct species,correct species,correct genus,incorrect,incorrect,incorrect,correct species,incorrect,incorrect,incorrect,incorrect,correct species,correct family,incorrect,incorrect,correct sound-image matching,correct sound-image matching,correct sound-image matching,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,correct species by sound,correct species by sound,correct species by sound,correct species by sound,incorrect,correct species by sound
56,2,0,1,4,Male,61-65,Other,5,6,28,28,19.67104722,far,correct genus,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect
57,7,0,5,2,Male,71-75,Amazonia,9,5,28,28,49.04445959,far,correct genus,incorrect,incorrect,correct species,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,correct species,incorrect,correct species,incorrect,incorrect,incorrect,incorrect,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,correct sound-image matching,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct species by sound,incorrect,incorrect,incorrect
58,15,4,4,1,Male,41-45,Amazonia,7,6,27,28,49.04445959,far,correct genus,correct genus,incorrect,correct species,correct species,correct species,incorrect,correct species,incorrect,correct species,correct species,incorrect,correct family,incorrect,incorrect,incorrect,incorrect,incorrect,correct genus,incorrect,correct sound-image matching,correct sound-image matching,incorrect,correct sound-image matching,incorrect,correct sound-image matching,correct sound-image matching,incorrect,correct species by sound,correct species by sound,incorrect,correct species by sound,correct species by sound,correct species by sound,incorrect
