ident,web,state,trec3,noman2,protect2,restore2,wnoman2,wprotect2,wrestore2,women,spend2,polview2,seeind2,nepind2,gccind2
184,1,3,5,2,5,5,2,4,4,0,1,4,3,3.4444444,5
185,1,1,4,2,4,4,2,4,4,0,.5,2,1,2,2
186,1,1,3,2,4,4,2,4,3,1,.5,5,2,3.2222223,4.5
187,1,1,5,2,5,5,5,2,2,1,1,6,2.5,4.8888888,5
188,1,2,5,2,4,3,2,4,3,1,.5,4,2,3.3333333,4
189,1,1,5,2,5,5,2,5,5,0,1,6,3,3.5555556,4
190,1,1,5,3,4,4,2,4,4,0,1,3,2.5,4.1111112,4.5
191,1,3,5,3,4,5,3,5,5,0,0,2,3,2.5555556,1.5
192,1,3,2,2,5,5,2,5,5,0,1,6,1.5,3.5555556,4
193,1,3,3,2,4,4,2,5,5,0,1,2,1,3.6666667,4
194,1,1,1,1,4,4,1,4,4,0,1,5,2.5,4,4
195,1,3,5,3,4,4,3,2,2,0,.5,2,3,2.7777777,2.5
196,1,3,4,4,4,4,3,4,4,0,1,1,0,4,4.5
197,1,3,3,2,5,5,2,5,5,0,.5,2,3,3,4.5
198,1,3,4,1,5,5,2,5,5,1,.5,3,2,3.3333333,5
199,1,3,5,3,4,2,3,4,3,1,.5,3,2.5,2.7777777,3
200,1,3,1,3,3,3,3,3,3,1,0,2,1,3.4444444,5
201,1,3,4,2,4,5,1,4,5,0,1,2,2.5,2.4444444,1.5
202,1,3,5,1,4,4,1,5,5,1,.5,4,2.5,3.6666667,3
203,1,1,5,3,4,5,3,4,5,0,0,3,2,4.5555553,5
204,1,3,5,3,3,3,3,3,3,0,.5,1,2,4.3333335,4
205,1,1,2,4,2,2,4,2,2,0,.5,1,,2.7777777,1.5
206,1,3,5,2,4,5,1,4,5,0,1,6,,4.3333335,5
207,1,3,5,3,4,4,5,4,3,0,.5,4,3,3.7777777,5
208,1,2,2,2,5,5,2,4,4,0,,,1,2.8888888,1.5
209,1,3,5,2,4,4,2,4,4,0,.5,4,2.5,3.7777777,3
210,1,3,1,3,3,3,3,3,3,1,.5,4,0,3.3333333,4
211,1,1,5,1,5,5,1,5,5,0,1,1,3,2.1111112,1.5
212,1,3,3,1,5,5,5,5,5,1,1,4,2.5,4,5
213,1,3,2,2,4,5,4,4,4,0,.5,4,2,3.6666667,4.5
214,1,1,5,3,3,3,3,3,3,0,.5,4,3,2.6666667,2.5
215,1,3,5,4,2,3,4,2,2,0,1,5,2.5,4,5
216,1,1,5,,,5,,,5,0,1,4,3,3.8888888,5
217,1,3,5,1,5,5,4,4,4,0,1,3,3,3.8888888,5
218,1,3,4,4,5,5,2,5,5,1,1,6,2.5,3.8888888,5
219,1,3,5,2,4,4,2,4,2,1,.5,4,1,3.2222223,1.5
220,1,3,5,2,4,4,2,4,4,1,.5,3,1,3.2222223,3.5
221,1,3,5,1,4,5,1,4,4,0,1,2,2.5,3.4444444,4.5
222,1,1,5,2,4,4,2,4,4,0,.5,4,2.5,3.1111112,4
223,1,1,3,1,5,5,1,5,5,0,1,7,2.5,4.3333335,5
224,1,3,5,,5,5,,5,5,1,1,7,2.5,4.5555553,5
225,1,3,4,2,4,4,4,2,2,0,1,3,2.5,5,5
226,1,3,5,2,5,5,1,5,5,1,.5,4,2,2.8888888,2
227,1,1,5,2,4,4,3,3,3,0,1,5,2,3.3333333,4.5
228,1,1,5,3,4,4,5,5,5,0,0,2,2.5,3.1111112,1.5
229,1,3,,2,4,4,2,4,4,0,.5,4,1.5,3.5555556,5
230,1,3,5,2,5,5,1,5,5,0,1,4,2,4.2222223,5
231,1,3,5,1,4,4,1,5,4,0,1,5,3,4.1111112,5
232,1,1,5,1,5,5,1,5,5,0,1,4,2.5,3.7777777,5
233,1,1,,2,4,4,4,2,2,1,.5,3,2,3.6666667,4
234,1,3,4,3,4,4,2,4,4,0,0,4,2,2.2222223,1.5
235,1,2,5,2,4,4,2,3,4,0,.5,1,2.5,4.6666665,4.5
236,1,2,5,4,2,3,5,2,3,0,1,5,3,4.2222223,4
237,1,3,5,3,4,3,5,4,2,0,0,2,3,2.5555556,2
238,1,3,5,2,4,4,2,4,4,0,0,1,3,2.7777777,1.5
239,1,1,5,1,1,3,2,4,4,1,.5,3,1,3.1111112,4.5
240,1,3,5,3,2,5,2,2,5,0,0,2,,,1
241,1,3,5,1,5,2,1,4,2,1,1,1,,2.1111112,4
242,1,3,4,,5,,,,5,1,.5,4,,4.1111112,5
243,1,3,3,2,5,3,2,5,3,0,.5,6,2.5,3.5555556,4.5
244,1,2,2,2,3,4,2,3,4,0,.5,3,2,3.6666667,4.5
245,1,3,5,3,4,5,3,4,4,1,1,4,3,3.3333333,2.5
246,1,3,4,3,4,4,3,4,4,0,.5,1,2.5,2.5555556,1.5
247,1,3,5,2,4,4,2,4,4,0,1,2,2,3,4
248,1,2,,4,2,5,5,2,4,1,.5,4,2,3.6666667,
249,1,3,5,3,5,3,3,4,3,0,.5,4,1.5,3.3333333,4
250,1,2,5,3,3,3,3,3,3,0,.5,3,2,3.2222223,3
251,1,3,2,1,4,4,4,4,4,0,1,3,0,3.3333333,4.5
252,1,2,5,1,4,5,1,4,5,0,.5,4,2.5,4.4444447,5
253,1,1,4,2,4,4,2,4,4,0,1,4,2,3.4444444,5
254,1,1,2,,5,4,1,1,1,0,.5,4,2.5,3.6666667,
255,1,2,,2,5,5,2,5,5,0,.5,4,2,3.1111112,3
256,1,3,3,1,4,4,1,5,5,0,1,4,2.5,4,5
257,1,1,4,1,5,5,2,4,4,1,1,4,2,4.2222223,5
258,1,3,4,1,5,5,1,5,5,0,.5,3,2.5,3.2222223,1
259,1,3,3,2,5,5,1,5,5,0,.5,2,2,2.7777777,4.5
260,1,3,3,2,5,5,2,4,4,1,1,5,1.5,3.6666667,5
261,1,3,5,1,4,5,1,5,4,0,1,5,2.5,4.7777777,5
262,1,3,2,2,4,5,2,4,5,0,.5,4,2,3.3333333,2.5
263,1,3,4,1,5,5,1,5,5,0,.5,7,2.5,3.5555556,4.5
264,1,3,5,1,5,5,1,5,5,0,0,1,3,3,3.5
265,1,1,5,1,5,5,3,5,5,1,.5,4,2.5,3.8888888,5
266,1,3,5,1,5,5,1,5,5,0,1,5,3,3,5
267,1,3,3,1,5,5,1,5,5,0,1,2,3,2.8888888,3
268,1,2,5,3,4,4,3,4,4,0,1,2,2,3.4444444,3
269,1,1,5,2,5,5,2,5,5,1,.5,3,1.5,3.5555556,5
270,1,3,5,1,5,5,2,3,4,1,1,6,2,3.2222223,5
271,1,1,5,2,5,5,3,4,4,1,.5,7,3,4.3333335,5
272,1,3,5,,5,5,,5,5,1,.5,5,3,3.5555556,5
273,1,1,5,5,1,4,1,4,4,1,.5,5,2.5,1.4444444,1.5
274,1,3,4,2,4,4,2,4,4,0,.5,2,2.5,2.7777777,2.5
275,1,1,5,2,5,5,2,5,5,1,1,4,1,3.3333333,5
276,1,3,4,1,5,5,1,5,4,0,1,2,3,3,4.5
277,1,3,5,2,5,4,2,5,4,0,1,5,2.5,3,4.5
278,1,1,5,1,5,5,2,5,5,0,1,5,3,4,5
279,1,3,2,2,4,5,2,4,5,1,.5,5,1.5,4.2222223,5
280,1,3,5,1,4,5,5,4,3,1,.5,4,0,3.7777777,5
281,1,2,3,2,5,5,2,5,4,1,.5,1,2.5,2.4444444,1
282,1,3,5,2,4,5,2,5,5,0,1,5,1,4.1111112,5
283,1,3,3,3,3,3,3,3,3,1,.5,1,2,2.7777777,4
284,1,3,5,3,4,4,3,4,4,0,.5,5,1,3.3333333,4.5
285,1,2,5,2,4,5,2,4,5,0,.5,1,2,2.8888888,2
286,1,1,4,1,5,5,1,5,5,1,1,4,2,3.4444444,4
287,1,2,4,3,4,4,3,4,4,0,.5,2,2.5,2.2222223,2
288,1,3,5,1,4,4,2,4,4,0,1,4,3,3.6666667,4.5
289,1,1,3,3,4,4,3,4,,0,1,4,2.5,3.7777777,5
290,1,1,4,3,4,5,3,4,5,1,.5,2,2,3.6666667,4.5
291,1,1,1,2,4,3,2,4,3,0,.5,2,2,3.3333333,2
292,1,1,5,1,4,4,1,4,4,1,.5,5,2,3.4444444,3
293,1,3,5,1,3,4,1,3,4,0,0,4,3,2.2222223,1.5
294,1,3,5,2,3,5,2,3,5,0,.5,3,3,2.4444444,4
295,1,3,3,1,4,4,1,4,4,1,1,4,1,3.8888888,4.5
296,1,3,2,4,2,2,4,2,2,0,.5,3,2,2,2.5
297,1,3,5,1,5,4,1,4,4,1,.5,4,2,3.6666667,4.5
298,1,3,2,5,1,1,5,1,1,0,0,1,2,1.2222222,1
299,1,1,5,4,3,3,5,2,2,0,.5,4,2.5,3.6666667,4
300,1,3,5,4,2,2,4,2,2,0,0,3,1.5,2.7777777,1.5
301,1,3,5,1,4,4,1,4,4,0,.5,3,2.5,3.4444444,4.5
302,1,3,5,1,5,5,1,5,5,1,.5,5,2,4.6666665,5
303,1,3,5,2,4,5,1,4,5,0,1,5,2.5,3.8888888,5
304,1,2,5,1,5,4,2,5,3,0,1,2,2,,1.5
305,1,2,5,3,3,4,3,3,4,0,0,2,2.5,2.5555556,1.5
306,1,3,2,2,4,4,2,4,4,0,1,4,1,3,4
307,1,1,5,1,5,5,1,5,5,0,1,6,2.5,4.2222223,4
308,1,2,5,,4,3,4,,,0,.5,4,2,2,2
309,1,1,5,1,4,4,2,3,3,0,.5,7,2.5,3.5555556,4.5
