herd,month,monitoring_time,sex_of_herd,total_peeps,avgtime,people_present,wewd,int,easting,northing
1,6,15,M,0,12.61666667,5,Weekday,before_management,711776.3675,735083.3909
41,6,252,M,25,15.35,72,Weekday,before_management,711787.8818,734558.4944
26,5,82,M,0,8.933333333,1,Weekday,before_management,711891.5597,735244.3411
1,6,18,M,0,13.6,16,Weekend,before_management,712244.1215,734602.1947
4,6,83,M,7,15.3,41,Weekend,before_management,711730.6911,734991.8733
23,6,40,M,0,17,60,Weekend,before_management,711509.7978,734882.4214
67,6,60,M,0,8.583333333,0,Weekday,before_management,712309.8892,734978.6401
99,6,160,M,19,10.46666667,92,Weekday,before_management,712287.5829,734995.3904
99,6,31,M,19,12.51666667,52,Weekday,before_management,712247.3794,734990.9867
51,6,17,M,14,12.05,13,Weekday,before_management,712338.2929,734966.3813
83,6,30,M,0,8.616666667,0,Weekday,before_management,712293.15,734801.4938
65,6,33,M,4,9.15,2,Weekday,before_management,712351.6424,734802.4608
31,6,71,M,0,10.08333333,7,Weekday,before_management,712426.5334,734663.8176
14,6,129,M,1,11.75,29,Weekday,before_management,712419.8158,734654.3877
11,5,63,M,0,10.26666667,5,Weekday,before_management,711938.7769,735182.9808
70,6,227,M,38,16.05,108,Weekend,before_management,711798.4784,734861.3008
20,6,85,M,20,15.28333333,43,Weekday,before_management,712299.1886,734740.8687
40,6,10,M,3,16.46666667,9,Weekday,before_management,712341.3624,734756.9193
34,6,22,M,0,16.93333333,11,Weekday,before_management,712100.9669,734981.1465
87,6,79,M,0,16.85,27,Weekday,before_management,712074.0099,734897.8178
120,6,29,M,9,14.78333333,4,Weekday,before_management,712213.7196,734648.3744
40,6,90,M,20,15.86666667,23,Weekday,before_management,712108.308,734916.0674
45,6,48,M,32,14.73333333,7,Weekend,before_management,712102.0223,735092.2841
9,6,16,M,15,15.36666667,23,Weekend,before_management,711931.8357,735121.7877
13,6,33,M,40,15.85,37,Weekend,before_management,711897.3401,734902.8687
6,6,46,M,0,8.8,0,Weekend,before_management,711688.2071,734421.2744
4,6,31,M,0,9.616666667,1,Weekend,before_management,711771.3172,734371.3765
44,6,28,M,0,9.266666667,5,Weekday,before_management,712006.9647,735026.4524
63,6,14,M,0,9.633333333,2,Weekday,before_management,710274.8305,734759.5696
48,5,35,M,7,11.61666667,24,Weekday,before_management,711916.5356,735052.6509
56,6,11,M,0,10.11666667,21,Weekday,before_management,712068.9886,734931.3102
31,6,24,M,0,10.5,5,Weekday,before_management,711936.9215,735173.5367
13,6,137,M,0,15.35,178,Weekday,before_management,712453.5827,735158.6016
20,6,107,M,141,13.5,251,Weekend,before_management,712332.8543,734939.9229
8,6,19,M,0,14.68333333,30,Weekend,before_management,712246.4836,735027.1873
6,6,62,M,0,15.41666667,70,Weekend,before_management,712193.5503,734985.2034
13,6,116,M,34,16.95,167,Weekend,before_management,712192.7012,735014.9781
22,6,38,M,17,15.01666667,67,Weekday,before_management,712310.6456,734939.7652
14,6,95,M,17,16.23333333,105,Weekday,before_management,712292.8252,734959.7727
93,5,88,M,0,8.9,6,Weekend,before_management,712255.9688,734860.9233
31,6,65,M,0,8.6,3,Weekday,before_management,711910.7038,735208.5253
16,6,7,M,0,9.25,1,Weekday,before_management,711864.1042,735170.6326
26,6,24,M,0,9.583333333,1,Weekday,before_management,712038.3222,735104.3106
39,6,71,M,0,10.4,11,Weekday,before_management,712075.3386,735077.6653
17,6,191,M,0,9.4,25,Weekday,before_management,712172.0794,734962.9443
31,6,186,M,4,9.133333333,74,Weekend,before_management,711903.9655,734824.4222
39,6,50,M,0,11.13333333,14,Weekend,before_management,712164.3277,735004.3033
72,6,132,M,23,12.73333333,101,Weekend,before_management,712174.7133,735011.0378
60,7,123,M,0,8.933333333,11,Weekday,before_management,712153.6692,734906.7491
38,5,20,M,0,9.916666667,9,Weekend,before_management,712294.8135,734763.7532
36,7,43,M,4,10.68333333,27,Weekday,before_management,712261.038,734960.0477
6,7,295,M,7,15.03333333,108,Weekday,before_management,711859.5942,734436.5767
87,7,65,M,76,13.53333333,111,Weekend,before_management,710811.5107,735065.4082
7,7,63,M,6,14.9,52,Weekend,before_management,712141.5443,734738.5175
29,7,110,M,4,16.66666667,48,Weekend,before_management,712053.7043,734845.0419
23,7,350,M,60,11.01666667,167,Weekend,before_management,712085.1051,734825.4252
74,7,3,M,3,13.2,23,Weekday,before_management,711480.9136,734687.996
75,7,123,M,28,14.45,79,Weekday,before_management,711296.3716,734546.6025
46,7,122,M,21,16.68333333,67,Weekday,before_management,711099.0137,734489.796
43,7,114,M,32,13.56666667,64,Weekday,before_management,711605.1133,735056.9788
66,5,140,M,2,9.116666667,55,Weekday,before_management,712297.5226,735072.2523
38,5,28,M,7,11.5,41,Weekday,before_management,712116.7315,735032.3293
7,7,113,M,9,10.3,62,Weekend,management_applied,711922.0489,735024.7888
30,7,122,M,45,12.38333333,128,Weekend,management_applied,711816.7007,735187.8727
5,7,3,M,0,13.56666667,17,Weekend,management_applied,711631.6225,735114.0837
33,7,14,M,24,13.8,55,Weekend,management_applied,711582.4336,734973.7779
36,7,39,M,0,8.683333333,0,Weekday,management_applied,712333.5409,734770.7214
132,7,293,M,19,11.55,102,Weekday,management_applied,712309.5759,734725.5933
2,7,183,M,0,14.71666667,19,Weekday,management_applied,711021.3186,734366.1515
25,7,10,M,1,12.96666667,9,Weekday,management_applied,711701.899,734484.4357
23,5,137,M,17,9.116666667,67,Weekend,before_management,712360.961,735016.5961
14,7,157,M,7,14.41666667,70,Weekday,management_applied,711789.1361,734405.8071
26,7,47,M,0,16.16666667,16,Weekday,management_applied,711813.6529,734395.3906
4,7,129,M,0,16.56666667,8,Weekday,management_applied,711250.9919,734489.3349
18,7,26,M,59,15.63333333,89,Weekday,management_applied,712109.6115,735033.0501
42,7,46,M,5,16.36666667,163,Weekday,management_applied,711798.0147,735098.4303
96,7,46,M,0,16.03333333,80,Weekend,management_applied,711803.3115,734519.9934
4,7,80,M,0,9,2,Weekday,management_applied,711698.8451,734311.075
78,7,193,M,80,11.58333333,306,Weekday,management_applied,712063.676,734971.2338
17,5,83,M,0,11.1,240,Weekend,before_management,712211.459,735081.8541
23,7,10,M,3,13.38333333,11,Weekday,management_applied,712148.4577,734908.1738
7,7,336,M,2,11.2,40,Weekday,management_applied,711067.9864,734356.1245
