Year,Season,Active_Holes,Total_Holes,Sett Type,Trial_Code,Sett_ID_Code
4,Spring,1,8,Outlier,Area3,Area3 Sett63
1,Summer,0,4,Outlier,Area3,Area3 Sett64
3,Spring,0,2,Outlier,Area3,Area3 Sett64
3,Autumn,0,1,Outlier,Area3,Area3 Sett64
4,Spring,1,2,Outlier,Area3,Area3 Sett64
1,Summer,0,2,Outlier,Area3,Area3 Sett65
2,Spring,4,8,Outlier,Area3,Area3 Sett65
3,Spring,2,9,Outlier,Area3,Area3 Sett65
3,Autumn,0,1,Outlier,Area3,Area3 Sett65
4,Spring,2,11,Outlier,Area3,Area3 Sett65
2,Spring,2,3,Outlier,Area3,Area3 Sett66
3,Spring,1,5,Outlier,Area3,Area3 Sett66
3,Autumn,0,2,Outlier,Area3,Area3 Sett66
4,Spring,0,1,Outlier,Area3,Area3 Sett66
2,Spring,4,10,Outlier,Area3,Area3 Sett67
3,Spring,5,10,Outlier,Area3,Area3 Sett67
3,Autumn,0,3,Outlier,Area3,Area3 Sett67
1,Summer,0,2,Outlier,Area3,Area3 Sett68
2,Spring,0,3,Outlier,Area3,Area3 Sett68
3,Spring,0,3,Outlier,Area3,Area3 Sett68
3,Autumn,0,3,Outlier,Area3,Area3 Sett68
4,Spring,1,4,Outlier,Area3,Area3 Sett68
3,Spring,0,2,Outlier,Area3,Area3 Sett69
3,Autumn,0,4,Outlier,Area3,Area3 Sett69
4,Spring,1,4,Outlier,Area3,Area3 Sett69
1,Summer,1,4,Outlier,Area3,Area3 Sett70
2,Spring,3,10,Outlier,Area3,Area3 Sett70
3,Spring,0,1,Outlier,Area3,Area3 Sett70
1,Summer,5,12,Outlier,Area3,Area3 Sett71
2,Spring,3,10,Outlier,Area3,Area3 Sett71
3,Autumn,1,7,Main,Area3,Area3 Sett71
4,Spring,1,2,Outlier,Area3,Area3 Sett71
4,Spring,1,3,Outlier,Area3,Area3 Sett72
1,Summer,3,12,Outlier,Area3,Area3 Sett73
2,Spring,0,2,Outlier,Area3,Area3 Sett73
3,Spring,0,5,Outlier,Area3,Area3 Sett73
4,Spring,2,5,Outlier,Area3,Area3 Sett73
4,Spring,2,5,Outlier,Area3,Area3 Sett73
5,Autumn,1,5,Outlier,Area3,Area3 Sett73
1,Summer,0,2,Outlier,Area3,Area3 Sett74
2,Spring,0,2,Outlier,Area3,Area3 Sett74
