"WDPAID,""NAME"",""REP_AREA"",""STATUS_YR"",""GOV_TYPE"",""MANG_PLAN"",""ISO3"",""REGION"",""AVERAGE_VIEWS"",""DEGAZETTE"",""DOWNGRADE"",""DOWNSIZE"",""wikidata_url"",""wikidata_id"",""AGRILAND"",""POPDENSITY"",""BUILTUP"",""ROAD"",""GPI2020"",""EXTERNALINTERV"",""TOURISM"",""GDP"""
"313401,""Conkouati-Douli"",5049.5,1999,""Federal or national ministry or agency"",""Reported & Existent"",""COG"",""Central Africa"",4.53313069908815,0,0,1,""https://www.wikidata.org/wiki/ Q3015338"",""Q3015338"",1.4,22.5,0,1.8,2.276,3.81,4.48,1"
"20299,""Cross River"",8000,1991,""Federal or national ministry or agency"",""Not Reported"",""NGA"",""Western Africa"",34.9519756838906,0,0,0,""https://www.wikidata.org/wiki/ Q3015318"",""Q3015318"",0,32.4,0,4.3,2.782,3.73,4.65,4.79"
"1362,""Daan Viljoen Game Park"",40,1968,""Federal or national ministry or agency"",""Not Reported"",""NAM"",""Austral Africa"",4.40182370820669,0,0,0,""https://www.wikidata.org/wiki/ Q1156470"",""Q1156470"",0,593.4,1.4,4.9,1.845,4.07,4.51,4.97"
"866,""Delta du Saloum"",760,1976,""Federal or national ministry or agency"",""Reported & Existent"",""SEN"",""Western Africa"",8.91550151975684,0,0,0,""https://www.wikidata.org/wiki/ Q390208"",""Q390208"",3.6,55.2,2,1.9,1.84,3.15,4.67,4.84"
"555547995,""Deng Deng"",682.64,2010,""Federal or national ministry or agency"",""Reported & Absent"",""CMR"",""Central Africa"",NA,0,0,0,""https://www.wikidata.org/wiki/ Q23681074"",""Q23681074"",0.2,5.8,0,3,2.645,3.81,4.76,4.84"
"670,""Digya"",3478.3,1971,""Federal or national ministry or agency"",""Reported & Existent"",""GHA"",""Western Africa"",11.248632218845,0,0,0,""https://www.wikidata.org/wiki/ Q491509"",""Q491509"",0.8,20.8,0,4.2,1.796,1,1,1"
"2336,""Dinder"",10000,1935,""Federal or national ministry or agency"",""Reported & Existent"",""SDN"",""East Africa"",17.9544072948328,0,0,0,""https://www.wikidata.org/wiki/ Q1226290"",""Q1226290"",45.4,36.2,0,9,2.941,4.38,4.8,4.95"
"365023,""Donkoro Chaka"",80,NA,""Sub-national ministry or agency"",""Not Reported"",""ETH"",""East Africa"",NA,0,0,0,NA,NA,NA,NA,NA,NA,2.507,3.95,4.81,4.91"
"555543018,""Dorob"",8176,2010,""Federal or national ministry or agency"",""Not Reported"",""NAM"",""Austral Africa"",7.21398176291793,0,0,0,""https://www.wikidata.org/wiki/ Q1246079"",""Q1246079"",0,43.5,1.1,3.7,1.845,4.07,4.51,4.97"
"1244,""Douala Edéa"",2715.12,2018,""Federal or national ministry or agency"",""Reported & Absent"",""CMR"",""Central Africa"",NA,0,0,0,""https://www.wikidata.org/wiki/ Q1251334"",""Q1251334"",0,NA,NA,NA,2.645,3.81,4.76,4.84"
"33050,""Dulombi"",1770,1991,""Not Reported"",""Not Reported"",""GNB"",""Western Africa"",NA,0,0,0,NA,NA,NA,NA,NA,NA,2.084,3.46,4.98,4.88"
"31458,""Dzanga-Ndoki"",1143.26,1990,""Not Reported"",""Not Reported"",""CAF"",""Central Africa"",12.7714285714286,0,0,0,""https://www.wikidata.org/wiki/ Q3364411"",""Q3364411"",0,0.1,0,0,3.072,4.78,4.98,4.97"
"555548870,""Ebo"",1000,NA,""Federal or national ministry or agency"",""Reported & Absent"",""CMR"",""Central Africa"",1.58394160583942,0,0,0,""https://www.wikidata.org/wiki/ Q5331902"",""Q5331902"",NA,NA,NA,NA,2.645,3.81,4.76,4.84"
"884,""Etosha"",22941,1975,""Federal or national ministry or agency"",""Not Reported"",""NAM"",""Austral Africa"",121.919756838906,1,0,3,""https://www.wikidata.org/wiki/ Q675633"",""Q675633"",1.2,2.2,0,2.4,1.845,4.07,4.51,4.97"
"1241,""Faro"",3300,1980,""Federal or national ministry or agency"",""Reported & Existent"",""CMR"",""Central Africa"",4.01762917933131,0,0,0,""https://www.wikidata.org/wiki/ Q1397016"",""Q1397016"",5.3,26.9,0,5.3,2.645,3.81,4.76,4.84"
"2340,""Fazao-Malfakassa"",1920,1951,""Federal or national ministry or agency"",""Reported & Existent"",""TGO"",""Western Africa"",4.65367647058823,0,0,0,""https://www.wikidata.org/wiki/ Q144029"",""Q144029"",3.7,76.2,0,3.4,2.084,3.14,4.79,4.91"
"2342,""Fosse aux Lions"",16.5,1954,""Federal or national ministry or agency"",""Reported & Absent"",""TGO"",""Western Africa"",2.58297872340426,0,0,0,""https://www.wikidata.org/wiki/ Q19461810"",""Q19461810"",166,3005.2,0.1,14.6,2.084,3.14,4.79,4.91"
"555512165,""Foya"",1646.280467,2003,""Federal or national ministry or agency"",""Not Reported"",""LBR"",""Western Africa"",NA,0,0,0,NA,NA,NA,NA,NA,NA,1.864,3.64,4.72,4.92"
"13704,""Gambella"",4575,1974,""Federal or national ministry or agency"",""Not Reported"",""ETH"",""East Africa"",10.8333333333333,0,0,0,""https://www.wikidata.org/wiki/ Q288545"",""Q288545"",0.9,19.4,0,4.6,2.507,3.95,4.81,4.91"
"1083,""Garamba"",5000,1938,""Not Reported"",""Not Reported"",""COD"",""Central Africa"",27.2601823708207,0,0,0,""https://www.wikidata.org/wiki/ Q308893"",""Q308893"",0.3,1.1,0,8.5,3.109,4.16,4,1.66"
"881,""Garden Route National Park"",1263.8601143,1964,""Federal or national ministry or agency"",""Not Reported"",""ZAF"",""Austral Africa"",59.2699088145897,0,0,2,""https://www.wikidata.org/wiki/ Q428102"",""Q428102"",9.3,67.6,1.2,16.8,2.321,2.15,1.4,4.38"
"7873,""Gashaka-Gumti"",6730,1991,""Federal or national ministry or agency"",""Not Reported"",""NGA"",""Western Africa"",20.8133738601824,0,0,0,""https://www.wikidata.org/wiki/ Q1495137"",""Q1495137"",10.2,50.5,0,4.2,2.782,3.73,4.65,4.79"
"555512168,""Gbi"",884.09458,2003,""Federal or national ministry or agency"",""Not Reported"",""LBR"",""Western Africa"",0.688753799392097,0,0,0,""https://www.wikidata.org/wiki/ Q5559097"",""Q5559097"",NA,NA,NA,NA,1.864,3.64,4.72,4.92"
"7508,""Gemsbok"",26310,1971,""Federal or national ministry or agency"",""Not Reported"",""BWA"",""Austral Africa"",132.716109422492,0,0,0,""https://www.wikidata.org/wiki/ Q859385"",""Q859385"",0,0.1,0,1.1,1.812,2.01,4.56,4.18"
"9171,""Gola Forest National Park"",979.749902,2003,""Federal or national ministry or agency"",""Not Reported"",""LBR"",""Western Africa"",10.1738601823708,0,0,0,""https://www.wikidata.org/wiki/ Q1512159"",""Q1512159"",0,22.4,0,4.7,1.864,3.64,4.72,4.92"
"555542335,""Gola Rainforest National Park"",710.7,2010,""Federal or national ministry or agency"",""Reported & Existent"",""SLE"",""Western Africa"",10.1738601823708,0,0,0,""https://www.wikidata.org/wiki/ Q1512159"",""Q1512159"",0,63.3,0.1,14.8,1.855,3.68,4.99,4.97"
"879,""Golden Gate Highlands National Park"",330.943166453,1963,""Federal or national ministry or agency"",""Not Reported"",""ZAF"",""Austral Africa"",54.063829787234,0,0,3,""https://www.wikidata.org/wiki/ Q654851"",""Q654851"",16.3,207.4,3.1,20,2.321,2.15,1.4,4.38"
"926,""Gombe National Park"",34.4090769987,1968,""Federal or national ministry or agency"",""Not Reported"",""TZA"",""East Africa"",90.9465045592705,0,0,0,""https://www.wikidata.org/wiki/ Q856665"",""Q856665"",7.8,196.1,0.4,4.8,1.854,2.88,4.75,4.92"
"1104,""Gonarezhou"",5053,1975,""Not Reported"",""Not Reported"",""ZWE"",""Austral Africa"",18.5860182370821,0,0,0,""https://www.wikidata.org/wiki/ Q595121"",""Q595121"",7.2,7.1,0,7.8,2.302,3.79,4.44,4.89"
"801,""Gorongosa"",4086,1960,""Collaborative governance"",""Reported & Existent"",""MOZ"",""Austral Africa"",74.941641337386,0,0,3,""https://www.wikidata.org/wiki/ Q113952"",""Q113952"",6,47.7,0,8.3,2.132,3.86,4.39,4.06"
"555512169,""Grand Kru-River Gee"",1351.002683,2003,""Federal or national ministry or agency"",""Not Reported"",""LBR"",""Western Africa"",NA,0,0,0,NA,NA,NA,NA,NA,NA,1.864,3.64,4.72,4.92"
"18002,""Gross Barmen Hot Springs"",1,1968,""Federal or national ministry or agency"",""Not Reported"",""NAM"",""Austral Africa"",2.67720364741641,0,0,0,""https://www.wikidata.org/wiki/ Q1351026"",""Q1351026"",NA,NA,NA,NA,1.845,4.07,4.51,4.97"
"62088,""Gujba"",448,NA,""Federal or national ministry or agency"",""Not Reported"",""NGA"",""Western Africa"",NA,0,0,0,NA,NA,NA,NA,NA,NA,2.782,3.73,4.65,4.79"
"18005,""Hardap Recreation Resort"",243,1968,""Federal or national ministry or agency"",""Not Reported"",""NAM"",""Austral Africa"",1.71776504297994,0,0,0,""https://www.wikidata.org/wiki/ Q1351009"",""Q1351009"",3.2,3.9,0.1,4.6,1.845,4.07,4.51,4.97"
"7506,""Hell's Gate"",68.26,1984,""Federal or national ministry or agency"",""Not Reported"",""KEN"",""East Africa"",122.231610942249,0,0,0,""https://www.wikidata.org/wiki/ Q1603133"",""Q1603133"",29.4,179.2,0.6,5.8,2.395,2.05,2.93,3.88"
"7444,""Hlane Royal National Park"",217.358262,1967,""Joint governance"",""Not Reported"",""SWZ"",""Austral Africa"",8.78419452887538,0,0,0,""https://www.wikidata.org/wiki/ Q9067090"",""Q9067090"",42.2,52,0.2,6.7,1.929,2.1,3.52,2.08"
"1991,""Hwange"",14651,1949,""Not Reported"",""Not Reported"",""ZWE"",""Austral Africa"",92.8170212765957,0,0,0,""https://www.wikidata.org/wiki/ Q1571380"",""Q1571380"",2.9,1.9,0,12.2,2.302,3.79,4.44,4.89"
"20174,""Iles Ehotile National Park"",7.22,1974,""Government-delegated management"",""Reported & Existent"",""CIV"",""Western Africa"",2.57407407407407,0,0,0,""https://www.wikidata.org/wiki/ Q2749744"",""Q2749744"",0,NA,NA,NA,2.129,4.74,4.92,4.96"
"870,""Iles de la Madeleine"",0.45,1976,""Federal or national ministry or agency"",""Reported & Existent"",""SEN"",""Western Africa"",6.59358288770053,0,0,0,""https://www.wikidata.org/wiki/ Q292411"",""Q292411"",NA,NA,NA,NA,1.84,3.15,4.67,4.84"
"2312,""Isalo"",1133.74187,1962,""Not Reported"",""Not Reported"",""MDG"",""Austral Africa"",31.8303951367781,0,0,0,""https://www.wikidata.org/wiki/ Q120414"",""Q120414"",2.5,42.8,0,9.8,1.905,2.23,3.51,2.5"
"1096,""Isangano"",831,1971,""Federal or national ministry or agency"",""Not Reported"",""ZMB"",""Austral Africa"",2.15258358662614,0,1,0,""https://www.wikidata.org/wiki/ Q1673711"",""Q1673711"",6.8,0.7,0,4.4,1.788,3.55,4.69,4.9"
"303873,""Ivindo"",2967,2002,""Federal or national ministry or agency"",""Reported & Existent"",""GAB"",""Central Africa"",6.37325227963526,0,0,0,""https://www.wikidata.org/wiki/ Q9055979"",""Q9055979"",0,5.2,0.1,1.6,2.096,2.71,4.86,4.14"
"350036,""Jozani-Chwaka Bay"",50,2004,""Federal or national ministry or agency"",""Not Reported"",""TZA"",""East Africa"",26.0054711246201,0,0,0,""https://www.wikidata.org/wiki/ Q2549607"",""Q2549607"",3,133.4,0.2,10.8,1.854,2.88,4.75,4.92"
