#link,coreId1,coreId2,cluster1,cluster2,linkType,eucDist,lcDist,eucAdj,cwdAdj,lcpLength,cwdToEucRatio,cwdToPathRatio,Eff_Resist,CWDTORRatio,CF_Centrality
75.0,19.0,57.0,-1.0,-1.0,1.0,851.0,118521.617188,1.0,1.0,1015.0,139.273345697,116.770066195,-1.0,-1.0,3095.065393
76.0,19.0,68.0,-1.0,-1.0,1.0,1041.0,130892.25,1.0,1.0,1158.0,125.7370317,113.033031088,-1.0,-1.0,1844.445596
77.0,20.0,21.0,-1.0,-1.0,1.0,1.0,20.0,1.0,1.0,20.0,20.0,1.0,-1.0,-1.0,66068.27734
78.0,20.0,26.0,-1.0,-1.0,1.0,588.0,11306.265625,1.0,1.0,755.0,19.2283428997,14.9751862583,-1.0,-1.0,40120.52693
79.0,20.0,32.0,-1.0,-1.0,1.0,365.0,22488.4101563,1.0,1.0,567.0,61.61208262,39.6620990411,-1.0,-1.0,5251.857291
80.0,20.0,35.0,-1.0,-1.0,1.0,371.0,25843.4765625,0.0,1.0,712.0,69.6589664757,36.297017644,-1.0,-1.0,11563.9986
81.0,21.0,32.0,-1.0,-1.0,1.0,361.0,22496.6933594,1.0,0.0,575.0,62.3177101368,39.1246841033,-1.0,-1.0,5300.423995
82.0,21.0,35.0,-1.0,-1.0,1.0,365.0,25851.7617188,1.0,1.0,720.0,70.8267444351,35.9052246094,-1.0,-1.0,11511.47429
83.0,21.0,63.0,-1.0,-1.0,1.0,817.0,89633.46875,0.0,1.0,982.0,109.710488066,91.2764447556,-1.0,-1.0,43243.30302
84.0,22.0,36.0,-1.0,-1.0,1.0,349.0,32191.7792969,1.0,1.0,441.0,92.240055292,72.9972319658,-1.0,-1.0,16974.60833
85.0,22.0,66.0,-1.0,-1.0,-15.0,732.0,37137.828125,0.0,1.0,1017.0,50.7347378757,36.517038471,-1.0,-1.0,-1.0
86.0,22.0,79.0,-1.0,-1.0,-15.0,1365.0,146455.484375,1.0,1.0,2224.0,107.293395147,65.8522861398,-1.0,-1.0,-1.0
87.0,22.0,85.0,-1.0,-1.0,-15.0,1023.0,37692.3867188,0.0,1.0,1571.0,36.8449528043,23.9926077141,-1.0,-1.0,-1.0
88.0,23.0,24.0,-1.0,-1.0,1.0,223.0,26485.28125,1.0,1.0,264.0,118.768077354,100.323035038,-1.0,-1.0,4685.251973
89.0,23.0,27.0,-1.0,-1.0,1.0,202.0,24970.5625,1.0,1.0,249.0,123.61664604,100.283383534,-1.0,-1.0,5338.75201
90.0,23.0,29.0,-1.0,-1.0,1.0,167.0,19656.8535156,1.0,1.0,196.0,117.705709674,100.290068957,-1.0,-1.0,6586.277655
91.0,23.0,30.0,-1.0,-1.0,1.0,299.0,35112.6992188,1.0,1.0,351.0,117.433776652,100.036180111,-1.0,-1.0,1860.069783
92.0,23.0,52.0,-1.0,-1.0,1.0,1618.0,82670.15625,0.0,1.0,2419.0,51.0940397095,34.1753436337,-1.0,-1.0,10866.60302
93.0,24.0,27.0,-1.0,-1.0,1.0,43.0,7085.20996094,1.0,1.0,84.0,164.772324673,84.3477376302,-1.0,-1.0,3161.885637
94.0,24.0,28.0,-1.0,-1.0,1.0,40.0,4828.42724609,1.0,1.0,48.0,120.710681152,100.592234294,-1.0,-1.0,7688.888573
