,location,Firegion,WhyChange_Expenses,WhyChange_MoreBirds,WhyChange_NewLocation,WhyChange_NoReason,WhyChange_Timing,expense_more_bird,Expense_new_location,no_reason_expense,expense_timing,more_bird_location,more_bird_timing,more_bird_reason,location_no_reason,new_loation_timing,no_reason_tming,more_bird_location_noreason,more_bird_location_timing,no_reason_expense_timing
151,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
152,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,,,,,,,,,,,,,
153,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
154,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,,,,,,,,,,,,,
155,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,,,,,,,,,,,,,
156,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,1,NA,NA,,,,,,,,,,,,,
157,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,1,NA,NA,,,,,,,,,,,,,
158,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
159,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
160,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
161,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
163,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,1,NA,,,,,,,,,,,,,
164,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
165,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,1,NA,NA,,,,,,,,,,,,,
166,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
167,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
168,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
169,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
170,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
171,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,,,,,,,,,,,,,
172,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
173,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,1,NA,NA,,,,,,,,,,,,,
174,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,1,NA,NA,,,,,,,,,,,,,
175,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
176,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
177,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
178,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
179,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
180,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
181,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
182,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,,,,,,,,,,,,,
183,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
184,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,1,,,,,,1,,,,,,,
185,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
186,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
187,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,1,NA,,,,,,,,,,,,,
188,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
190,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
191,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
192,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
193,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
194,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
195,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
196,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
197,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
198,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
199,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
200,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
201,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
202,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
203,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
204,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
205,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
206,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,,,,,,,,,,,,,
207,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
208,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,,,,,,,,,,,,,
209,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
210,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
211,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
212,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
214,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
215,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
216,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,1,,,,,,,,,,,,,
217,Rural area,Northern Finland north from Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
218,City/urban area,Northern Finland north from Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
219,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
