,location,Firegion,WhyChange_Expenses,WhyChange_MoreBirds,WhyChange_NewLocation,WhyChange_NoReason,WhyChange_Timing,expense_more_bird,Expense_new_location,no_reason_expense,expense_timing,more_bird_location,more_bird_timing,more_bird_reason,location_no_reason,new_loation_timing,no_reason_tming,more_bird_location_noreason,more_bird_location_timing,no_reason_expense_timing
220,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
221,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
222,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
223,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
224,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
225,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
226,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
227,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
228,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,,,,,,,,,,,,,
229,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
230,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
231,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
232,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
233,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
234,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
235,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
236,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
237,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
238,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
239,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
240,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
241,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,1,,,,,,,,,,,,,
242,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
243,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
244,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,,,,,,,,,,,,,
245,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
246,City/urban area,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
247,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
248,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
249,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
250,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
251,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
252,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
253,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
254,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
255,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
256,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
257,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
258,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
259,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
260,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
261,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,,,,,,,,,,,,,
262,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
263,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
264,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,,,,,,,,,,,,,
265,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
266,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
267,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
268,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
269,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
270,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
271,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
272,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
273,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
274,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
275,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
276,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,1,NA,NA,,,,,,,,,,,,,
277,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
278,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
279,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
280,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
281,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
282,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
283,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
284,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
285,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
286,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
287,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
288,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
289,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
290,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
291,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,,,,,,,,,,,,,
292,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
293,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,1,NA,,,,,,,,,,,,,
294,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,1,NA,NA,,,,,,,,,,,,,
295,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
296,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
297,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
298,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
299,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,,,,,,,,,,,,,
300,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
301,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,,,,,,,,,,,,,
302,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
303,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
304,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,1,NA,,,,,,,,,,,,,
305,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
306,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
307,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
308,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
309,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
310,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
311,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
312,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
313,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,,,,,,,,,,,,,
314,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
315,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
316,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
317,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
318,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
319,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
320,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
321,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
322,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
323,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
324,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
325,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
326,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
327,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
328,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
329,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
330,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
331,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
332,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
333,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
334,Rural area,Northern Finland north from Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
335,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
336,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
337,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,,,,,,,,,,,,,
338,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
339,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
340,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,,,,,,,,,,,,,
341,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
342,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
344,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
345,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
346,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
347,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
348,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,,,,,,,,,,,,,
349,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,1,,,,,,,,,,,,,
350,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
351,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
352,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,1,NA,NA,,,,,,,,,,,,,
353,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
354,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,1,,,,,,,,,,,,,
355,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
356,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
357,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
358,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
359,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
360,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
361,Rural area,Northern Finland north from Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
362,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
363,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
364,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
365,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,1,NA,,,,,,,,,,,,,
366,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
367,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
368,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,1,NA,,,,,,,1,,,,,,
369,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
370,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
371,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,,,,,,,,,,,,,
372,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,1,,,,,,1,,,,,,,
373,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
374,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,1,NA,NA,NA,NA,,,,,,,,,,,,,
375,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
376,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
377,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,1,NA,,,,,,,,,,,,,
378,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,1,,,,,,1,,,,,,,
379,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
380,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
381,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
382,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
383,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
384,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
385,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
386,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
387,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,,,,,,,,,,,,,
388,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
389,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,1,,,,,,1,,,,,,,
390,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
392,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
393,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
394,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
395,Rural area,Northern Finland north from Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
396,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,,,,,,,,,,,,,
397,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
398,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,1,1,NA,,,,,,,1,,,,1,,
399,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,1,1,NA,,,,,,,1,,,,1,,
400,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
401,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
402,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,,,,,,,,,,,,,
403,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
404,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
405,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
406,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
407,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
408,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
409,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
410,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
411,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
412,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,1,NA,NA,,,,,,,,,,,,,
413,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
414,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
415,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
416,City/urban area,Northern Finland north from Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
417,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
419,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,1,NA,,,,,,,,,,,,,
420,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
421,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
422,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
423,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
424,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
425,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
426,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
427,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
428,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
429,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
430,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
431,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
432,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
433,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
434,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
435,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
436,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
437,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
438,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
439,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
440,Rural area,South-Finland south from Pori-Tampere-Mikkeli,1,NA,NA,NA,NA,,,,,,,,,,,,,
441,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
444,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
445,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
