"parentId","fact","value","factLabel","valueLabel","hab","year","month","NNN","EEE","kausi","year2","route","feeders","f1","f2","fhab","loglengthkm","fkausi","year2st","NNNst","EEEst","fyear"
"JX.1201067","routeLengthBiotopeC",9500,"Route length countryside","9500","A",2021,1,669,311,2,2021,"MNP.55",24,4,20,"C",2.2512917986065,"2",15.0253451256483,-17.8395803078346,-25.5675844082753,"2021"
"JX.1201068","routeLengthBiotopeC",1500,"Route length countryside","1500","A",2021,1,675,321,2,2021,"MNP.191",3,1,2,"C",0.405465108108164,"2",15.0253451256483,-11.8395803078346,-15.5675844082753,"2021"
"JX.1201069","routeLengthBiotopeC",1060,"Route length countryside","1060","A",2021,1,677,319,2,2021,"MNP.3945",4,4,0,"C",0.0582689081239758,"2",15.0253451256483,-9.83958030783458,-17.5675844082753,"2021"
"JX.1201070","routeLengthBiotopeC",3600,"Route length countryside","3600","A",2021,1,671,323,2,2021,"MNP.1023",0,0,0,NA,1.28093384546206,"2",15.0253451256483,-15.8395803078346,-13.5675844082753,"2021"
"JX.1201072","routeLengthBiotopeC",5000,"Route length countryside","5000","A",2021,1,674,329,2,2021,"MNP.1163",3,2,1,"C",1.6094379124341,"2",15.0253451256483,-12.8395803078346,-7.56758440827525,"2021"
"JX.1201138","routeLengthBiotopeC",1500,"Route length countryside","1500","A",2021,1,670,324,2,2021,"MNP.1108",3,0,3,NA,0.405465108108164,"2",15.0253451256483,-16.8395803078346,-12.5675844082753,"2021"
"JX.1201140","routeLengthBiotopeC",2000,"Route length countryside","2000","A",2021,1,676,327,2,2021,"MNP.3788",4,4,0,"C",0.693147180559945,"2",15.0253451256483,-10.8395803078346,-9.56758440827525,"2021"
"JX.1201144","routeLengthBiotopeC",100,"Route length countryside","100","A",2021,1,674,327,2,2021,"MNP.3787",2,2,0,"C",-2.30258509299405,"2",15.0253451256483,-12.8395803078346,-9.56758440827525,"2021"
"JX.1201149","routeLengthBiotopeC",5100,"Route length countryside","5100","A",2021,1,717,343,2,2021,"MNP.11934",0,0,0,NA,1.62924053973028,"2",15.0253451256483,30.1604196921654,6.43241559172475,"2021"
"JX.1201155","routeLengthBiotopeC",2700,"Route length countryside","2700","A",2021,1,690,368,2,2021,"MNP.913",14,4,10,"C",0.993251773010283,"2",15.0253451256483,3.16041969216542,31.4324155917247,"2021"
