ID;session;place;gender;age;Betsileo_sp;life;archi;phylo;ferpo;leav;root;flo;fru;EAD;pheL;pheF;land;soil;nbsp_Fa;nbsp_Fl;use;eco;score
M3;3;M;F;15;Kilela;1;0;0;1;0;1;0;2;0;0;1;1;0;0;0;0;1;8
M3;3;M;F;15;Lamoty;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;3
M3;3;M;F;15;Roimbosa;1;0;0;1;1;0;0;2;0;0;1;0;0;0;0;0;1;7
M3;3;M;F;15;Rotsy;1;0;1;1;1;0;0;2;0;0;0;0;0;0;0;0;1;7
M3;3;M;F;15;Voafotsy;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;6
M3;3;M;F;15;Voanaka;1;1;1;0;1;1;0;2;0;0;0;0;0;0;0;0;1;8
M3;3;M;F;15;Voaroitsaka;1;0;0;1;1;1;0;2;0;0;1;0;0;0;0;0;1;8
M3;3;M;F;15;Voatsitakajaza;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;6
M3;3;M;F;15;Zamborizany;1;0;0;1;1;1;0;2;0;1;0;0;0;0;0;0;1;8
M4;4;M;M;13;Kilela;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3
M4;4;M;M;13;Lanary;1;0;0;1;0;0;0;4;0;0;0;1;0;1;0;0;1;9
M4;4;M;M;13;Rotsy;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;4
M4;4;M;M;13;Voatabiahazo;0;0;0;0;0;1;0;3;0;0;0;1;0;0;0;0;1;6
M5;5;M;M;15;Goavy;1;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;1;6
M5;5;M;M;15;Kilela;1;0;0;1;2;1;0;2;0;0;1;0;0;0;0;0;1;9
M5;5;M;M;15;Rotsy;1;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;6
M5;5;M;M;15;Voafotsy;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;6
M5;5;M;M;15;Voatsitakajaza;1;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;7
N3;3;N;F;16;Goavy;1;0;0;1;1;1;0;3;0;0;1;1;0;0;0;0;1;10
N3;3;N;F;16;Kilela;1;0;1;1;1;1;0;2;0;1;1;1;0;0;0;0;1;11
N3;3;N;F;16;Rotsy;1;0;0;1;2;1;0;2;0;0;0;0;0;0;0;0;1;8
N3;3;N;F;16;Voafotsy;1;0;0;1;1;1;0;2;0;0;1;1;0;0;2;0;1;11
N3;3;N;F;16;Voanaka;1;0;1;1;2;0;0;3;1;1;0;1;0;0;1;0;1;13
N3;3;N;F;16;Voaroitsaka;1;0;0;1;1;1;0;2;0;0;1;0;0;0;0;0;1;8
N3;3;N;F;16;Voatsitakajaza;1;1;0;1;1;1;0;3;1;0;0;1;0;0;0;0;1;11
O1;1;O;F;16;Goavy;1;0;0;1;1;0;2;3;1;0;1;0;0;1;0;0;1;12
O1;1;O;F;16;Kilela;1;0;1;1;3;2;0;4;1;0;1;0;0;0;0;0;1;15
O1;1;O;F;16;Petity;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;4
O1;1;O;F;16;Voanaka;1;1;1;1;3;0;2;2;0;0;1;0;0;0;0;0;1;13
O1;1;O;F;16;Voaroitsaka;1;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;1;7
O2;2;O;F;17;Kilela;1;1;1;1;3;0;3;3;3;1;1;0;0;1;0;0;1;20
O2;2;O;F;17;Manga;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;3
O2;2;O;F;17;Paiso;1;0;0;1;3;0;0;3;0;0;0;1;0;3;0;0;1;13
